text,signature,signature_id,category,severity,proto,app_proto,src_ip,src_port,dest_ip,dest_port,hostname,uri,timestamp,source,count,date
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.244 | /?5aa32feNff7a8cN | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,4239,217.172.189.244,80,217.172.189.244,/?5aa32fe695575369844970ff7a8c9838,2015-04-08T16:54:02.289937-0600,first-org-2015,1,2015-04-08
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.244 | /?828feeNeNd51a75dNe957 | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,4240,217.172.189.244,80,217.172.189.244,/?828fee53566e17085d51a75d3157e957,2015-04-08T16:54:02.430295-0600,first-org-2015,1,2015-04-08
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.244 | /?ac90bcNfd22b45eNca78b32a | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,4238,217.172.189.244,80,217.172.189.244,/?ac90bc8646fd22b45e111618ca78b32a,2015-04-08T16:54:02.150360-0600,first-org-2015,1,2015-04-08
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.244 | /?cb67a11b160dcNf84b298c23fN | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,4243,217.172.189.244,80,217.172.189.244,/?cb67a11b160dc9973f84b298c23f9092,2015-04-08T16:54:02.849914-0600,first-org-2015,1,2015-04-08
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.244 | /?d6bNe1ab37dNbNceN | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,4241,217.172.189.244,80,217.172.189.244,/?d6b38721e1ab37d36713b1007ce23984,2015-04-08T16:54:02.571810-0600,first-org-2015,1,2015-04-08
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.244 | /?f76a16e17aa25ce66d8ab5aNb7a52 | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,4237,217.172.189.244,80,217.172.189.244,/?f76a16e17aa25ce66d8ab5a6300b7a52,2015-04-08T16:54:01.562963-0600,first-org-2015,1,2015-04-08
ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct M2 Feb 06 2015 | A Network Trojan was detected | http | carina-paris-hotel.com | /document.php?rnd=N&id=NEND0F4A0C0END0FND084A070B09 | 80,ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct M2 Feb 06 2015,2020644,A Network Trojan was detected,1,TCP,http,192.168.0.53,2212,209.59.156.160,80,carina-paris-hotel.com,/document.php?rnd=9813&id=5555525E01160D0F4A0C0E010809120D0F240309050D084A070B09,2015-04-07T07:34:49.570246-0600,first-org-2015,1,2015-04-07
ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct M2 Feb 06 2015 | A Network Trojan was detected | http | nursealarmsystems.com | /document.php?rnd=N&id=NEND0F4A0C0END0FND084A070B09 | 80,ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct M2 Feb 06 2015,2020644,A Network Trojan was detected,1,TCP,http,192.168.0.53,2211,216.47.227.188,80,nursealarmsystems.com,/document.php?rnd=9813&id=5555525E01160D0F4A0C0E010809120D0F240309050D084A070B09,2015-04-07T07:34:49.044212-0600,first-org-2015,1,2015-04-07
ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct M2 Feb 06 2015 | A Network Trojan was detected | http | www.mybusinessdoc.com | /document.php?rnd=N&id=NEND0F4A0C0END0FND084A070B09 | 80,ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct M2 Feb 06 2015,2020644,A Network Trojan was detected,1,TCP,http,192.168.0.53,2210,68.164.182.11,80,www.mybusinessdoc.com,/document.php?rnd=3271&id=5555525E01160D0F4A0C0E010809120D0F240309050D084A070B09,2015-04-07T07:34:44.564366-0600,first-org-2015,3,2015-04-07
ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct Sept 15 2015 | A Network Trojan was detected | http | carina-paris-hotel.com | /document.php?rnd=N&id=NEND0F4A0C0END0FND084A070B09 | 80,ET CURRENT_EVENTS Unknown Malicious Second Stage Download URI Struct Sept 15 2015,2021786,A Network Trojan was detected,1,TCP,http,192.168.0.53,2212,209.59.156.160,80,carina-paris-hotel.com,/document.php?rnd=9813&id=5555525E01160D0F4A0C0E010809120D0F240309050D084A070B09,2015-04-07T07:34:49.570246-0600,first-org-2015,1,2015-04-07
